Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_RegressionTest_With TestOps Vision,Firefox 98.0,,,2022-04-07 16:56:00,2022-04-07 16:56:52,52.061s,PASSED
,,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login_With TestOps Vision,Firefox 98.0,"Verify if users can login successful. 

Steps:
- Click on 'Book Appointment' button to login
- Input username and password
- Click on 'Login' button

Expected result:
'Appointment' section is displayed after successful login",,2022-04-07 16:56:00,2022-04-07 16:56:21,21.026s,PASSED
"comment(""Story: Login to CURA system"")",Firefox 98.0,,,2022-04-07 16:56:01,2022-04-07 16:56:02,0.118s,PASSED
"comment(""Given that the user has the valid login information"")",Firefox 98.0,,,2022-04-07 16:56:02,2022-04-07 16:56:02,0.005s,PASSED
openBrowser(G_SiteURL),Firefox 98.0,,,2022-04-07 16:56:02,2022-04-07 16:56:13,11.299s,PASSED
maximizeWindow(),Firefox 98.0,,,2022-04-07 16:56:13,2022-04-07 16:56:13,0.484s,PASSED
"click(findTestObject(""Page_CuraHomepage/btn_MakeAppointment""))",Firefox 98.0,,,2022-04-07 16:56:13,2022-04-07 16:56:15,1.228s,PASSED
"takeElementScreenshotAsCheckpoint(""Login Dialog Origin"", LoginObject)",Firefox 98.0,,,2022-04-07 16:56:15,2022-04-07 16:56:15,0.757s,PASSED
"setText(findTestObject(""Page_Login/txt_UserName""), Username)",Firefox 98.0,,,2022-04-07 16:56:15,2022-04-07 16:56:16,0.558s,PASSED
"setText(findTestObject(""Page_Login/txt_Password""), Password)",Firefox 98.0,,,2022-04-07 16:56:16,2022-04-07 16:56:16,0.529s,PASSED
"takeElementScreenshotAsCheckpoint(""Login Dialog With Data"", LoginObject)",Firefox 98.0,,,2022-04-07 16:56:16,2022-04-07 16:56:17,0.574s,PASSED
"comment(""When he logins to CURA system"")",Firefox 98.0,,,2022-04-07 16:56:17,2022-04-07 16:56:17,0.003s,PASSED
"click(findTestObject(""Page_Login/btn_Login""))",Firefox 98.0,,,2022-04-07 16:56:17,2022-04-07 16:56:18,0.929s,PASSED
