Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_RegressionTest_With TestOps Vision,Chrome 100.0.4896.127,,,2022-04-19 15:28:54,2022-04-19 15:30:03,1m - 8.501s,PASSED
,,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login_With TestOps Vision,Chrome 100.0.4896.127,"Verify if users can login successful. 

Steps:
- Click on 'Book Appointment' button to login
- Input username and password
- Click on 'Login' button

Expected result:
'Appointment' section is displayed after successful login",,2022-04-19 15:28:55,2022-04-19 15:29:24,28.876s,PASSED
"comment(""Story: Login to CURA system"")",Chrome 100.0.4896.127,,,2022-04-19 15:28:57,2022-04-19 15:28:57,0.175s,PASSED
"comment(""Given that the user has the valid login information"")",Chrome 100.0.4896.127,,,2022-04-19 15:28:57,2022-04-19 15:28:57,0.008s,PASSED
openBrowser(G_SiteURL),Chrome 100.0.4896.127,,,2022-04-19 15:28:57,2022-04-19 15:29:09,12.158s,PASSED
maximizeWindow(),Chrome 100.0.4896.127,,,2022-04-19 15:29:09,2022-04-19 15:29:10,0.445s,PASSED
"click(findTestObject(""Page_CuraHomepage/btn_MakeAppointment""))",Chrome 100.0.4896.127,,,2022-04-19 15:29:10,2022-04-19 15:29:12,2.605s,PASSED
"takeElementScreenshotAsCheckpoint(""Login Dialog Origin"", LoginObject)",Chrome 100.0.4896.127,,,2022-04-19 15:29:12,2022-04-19 15:29:16,3.107s,PASSED
"setText(findTestObject(""Page_Login/txt_UserName""), Username)",Chrome 100.0.4896.127,,,2022-04-19 15:29:16,2022-04-19 15:29:17,1.303s,PASSED
"setText(findTestObject(""Page_Login/txt_Password""), Password)",Chrome 100.0.4896.127,,,2022-04-19 15:29:17,2022-04-19 15:29:18,0.932s,PASSED
"takeElementScreenshotAsCheckpoint(""Login Dialog With Data"", LoginObject)",Chrome 100.0.4896.127,,,2022-04-19 15:29:18,2022-04-19 15:29:19,1.072s,PASSED
"comment(""When he logins to CURA system"")",Chrome 100.0.4896.127,,,2022-04-19 15:29:19,2022-04-19 15:29:19,0.003s,PASSED
"click(findTestObject(""Page_Login/btn_Login""))",Chrome 100.0.4896.127,,,2022-04-19 15:29:19,2022-04-19 15:29:20,1.027s,PASSED
"comment(""Then he should be able to login successfully"")",Chrome 100.0.4896.127,,,2022-04-19 15:29:20,2022-04-19 15:29:20,0.005s,PASSED
"landingPage = verifyElementPresent(findTestObject(""Page_CuraAppointment/div_Appointment""), G_Timeout)",Chrome 100.0.4896.127,,,2022-04-19 15:29:20,2022-04-19 15:29:20,0.326s,PASSED
closeBrowser(),Chrome 100.0.4896.127,,,2022-04-19 15:29:20,2022-04-19 15:29:21,1.254s,PASSED
Start listener action : terminateRunningWebDrivers,Chrome 100.0.4896.127,,,2022-04-19 15:29:21,2022-04-19 15:29:22,0.110s,PASSED
Video,Chrome 100.0.4896.127,,,2022-04-19 15:29:24,2022-04-19 15:29:24,0.001s,PASSED
,,,,,,,
