Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_RegressionTest_With TestOps Vision,Edge Chromium 100,,,2022-04-19 14:56:32,2022-04-19 14:57:27,55.076s,PASSED
,,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login_With TestOps Vision,Edge Chromium 100,"Verify if users can login successful. 

Steps:
- Click on 'Book Appointment' button to login
- Input username and password
- Click on 'Login' button

Expected result:
'Appointment' section is displayed after successful login",,2022-04-19 14:56:33,2022-04-19 14:56:56,23.243s,PASSED
"comment(""Story: Login to CURA system"")",Edge Chromium 100,,,2022-04-19 14:56:35,2022-04-19 14:56:35,0.156s,PASSED
"comment(""Given that the user has the valid login information"")",Edge Chromium 100,,,2022-04-19 14:56:35,2022-04-19 14:56:35,0.008s,PASSED
openBrowser(G_SiteURL),Edge Chromium 100,,,2022-04-19 14:56:35,2022-04-19 14:56:47,11.509s,PASSED
maximizeWindow(),Edge Chromium 100,,,2022-04-19 14:56:47,2022-04-19 14:56:47,0.675s,PASSED
"click(findTestObject(""Page_CuraHomepage/btn_MakeAppointment""))",Edge Chromium 100,,,2022-04-19 14:56:47,2022-04-19 14:56:48,0.718s,PASSED
"takeElementScreenshotAsCheckpoint(""Login Dialog Origin"", LoginObject)",Edge Chromium 100,,,2022-04-19 14:56:48,2022-04-19 14:56:50,1.693s,PASSED
"setText(findTestObject(""Page_Login/txt_UserName""), Username)",Edge Chromium 100,,,2022-04-19 14:56:50,2022-04-19 14:56:50,0.622s,PASSED
"setText(findTestObject(""Page_Login/txt_Password""), Password)",Edge Chromium 100,,,2022-04-19 14:56:50,2022-04-19 14:56:51,0.342s,PASSED
"takeElementScreenshotAsCheckpoint(""Login Dialog With Data"", LoginObject)",Edge Chromium 100,,,2022-04-19 14:56:51,2022-04-19 14:56:52,1.276s,PASSED
"comment(""When he logins to CURA system"")",Edge Chromium 100,,,2022-04-19 14:56:52,2022-04-19 14:56:52,0.003s,PASSED
"click(findTestObject(""Page_Login/btn_Login""))",Edge Chromium 100,,,2022-04-19 14:56:52,2022-04-19 14:56:53,0.749s,PASSED
"comment(""Then he should be able to login successfully"")",Edge Chromium 100,,,2022-04-19 14:56:53,2022-04-19 14:56:53,0.009s,PASSED
"landingPage = verifyElementPresent(findTestObject(""Page_CuraAppointment/div_Appointment""), G_Timeout)",Edge Chromium 100,,,2022-04-19 14:56:53,2022-04-19 14:56:53,0.268s,PASSED
closeBrowser(),Edge Chromium 100,,,2022-04-19 14:56:53,2022-04-19 14:56:54,1.353s,PASSED
Start listener action : terminateRunningWebDrivers,Edge Chromium 100,,,2022-04-19 14:56:54,2022-04-19 14:56:54,0.098s,PASSED
Video,Edge Chromium 100,,,2022-04-19 14:56:56,2022-04-19 14:56:56,0.001s,PASSED
,,,,,,,
