Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_RegressionTest_With TestOps Vision,Firefox 98.0,,,2022-04-19 15:11:34,2022-04-19 15:12:33,58.671s,PASSED
,,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login_With TestOps Vision,Firefox 98.0,"Verify if users can login successful. 

Steps:
- Click on 'Book Appointment' button to login
- Input username and password
- Click on 'Login' button

Expected result:
'Appointment' section is displayed after successful login",,2022-04-19 15:11:34,2022-04-19 15:11:56,21.828s,PASSED
"comment(""Story: Login to CURA system"")",Firefox 98.0,,,2022-04-19 15:11:36,2022-04-19 15:11:36,0.121s,PASSED
"comment(""Given that the user has the valid login information"")",Firefox 98.0,,,2022-04-19 15:11:36,2022-04-19 15:11:36,0.008s,PASSED
openBrowser(G_SiteURL),Firefox 98.0,,,2022-04-19 15:11:36,2022-04-19 15:11:48,11.873s,PASSED
maximizeWindow(),Firefox 98.0,,,2022-04-19 15:11:48,2022-04-19 15:11:48,0.514s,PASSED
"click(findTestObject(""Page_CuraHomepage/btn_MakeAppointment""))",Firefox 98.0,,,2022-04-19 15:11:48,2022-04-19 15:11:49,0.753s,PASSED
"takeElementScreenshotAsCheckpoint(""Login Dialog Origin"", LoginObject)",Firefox 98.0,,,2022-04-19 15:11:49,2022-04-19 15:11:50,0.947s,PASSED
"setText(findTestObject(""Page_Login/txt_UserName""), Username)",Firefox 98.0,,,2022-04-19 15:11:50,2022-04-19 15:11:50,0.556s,PASSED
"setText(findTestObject(""Page_Login/txt_Password""), Password)",Firefox 98.0,,,2022-04-19 15:11:50,2022-04-19 15:11:51,0.536s,PASSED
"takeElementScreenshotAsCheckpoint(""Login Dialog With Data"", LoginObject)",Firefox 98.0,,,2022-04-19 15:11:51,2022-04-19 15:11:52,0.754s,PASSED
"comment(""When he logins to CURA system"")",Firefox 98.0,,,2022-04-19 15:11:52,2022-04-19 15:11:52,0.002s,PASSED
"click(findTestObject(""Page_Login/btn_Login""))",Firefox 98.0,,,2022-04-19 15:11:52,2022-04-19 15:11:53,0.978s,PASSED
"comment(""Then he should be able to login successfully"")",Firefox 98.0,,,2022-04-19 15:11:53,2022-04-19 15:11:53,0.005s,PASSED
