Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_RegressionTest_With TestOps Vision,Chrome 100.0.4896.75,,,2022-04-07 12:04:13,2022-04-07 12:05:28,1m - 15.265s,FAILED
,,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login_With TestOps Vision,Chrome 100.0.4896.75,"Verify if users can login successful. 

Steps:
- Click on 'Book Appointment' button to login
- Input username and password
- Click on 'Login' button

Expected result:
'Appointment' section is displayed after successful login",,2022-04-07 12:04:13,2022-04-07 12:04:39,25.489s,PASSED
"comment(""Story: Login to CURA system"")",Chrome 100.0.4896.75,,,2022-04-07 12:04:15,2022-04-07 12:04:15,0.170s,PASSED
"comment(""Given that the user has the valid login information"")",Chrome 100.0.4896.75,,,2022-04-07 12:04:15,2022-04-07 12:04:15,0.006s,PASSED
openBrowser(G_SiteURL),Chrome 100.0.4896.75,,,2022-04-07 12:04:15,2022-04-07 12:04:28,12.502s,PASSED
maximizeWindow(),Chrome 100.0.4896.75,,,2022-04-07 12:04:28,2022-04-07 12:04:28,0.264s,PASSED
"click(findTestObject(""Page_CuraHomepage/btn_MakeAppointment""))",Chrome 100.0.4896.75,,,2022-04-07 12:04:28,2022-04-07 12:04:29,1.058s,PASSED
"takeElementScreenshotAsCheckpoint(""Login Dialog Origin"", LoginObject)",Chrome 100.0.4896.75,,,2022-04-07 12:04:29,2022-04-07 12:04:31,1.780s,PASSED
"setText(findTestObject(""Page_Login/txt_UserName""), Username)",Chrome 100.0.4896.75,,,2022-04-07 12:04:31,2022-04-07 12:04:32,1.278s,PASSED
"setText(findTestObject(""Page_Login/txt_Password""), Password)",Chrome 100.0.4896.75,,,2022-04-07 12:04:32,2022-04-07 12:04:33,0.692s,PASSED
"takeElementScreenshotAsCheckpoint(""Login Dialog With Data"", LoginObject)",Chrome 100.0.4896.75,,,2022-04-07 12:04:33,2022-04-07 12:04:34,1.319s,PASSED
"comment(""When he logins to CURA system"")",Chrome 100.0.4896.75,,,2022-04-07 12:04:34,2022-04-07 12:04:34,0.004s,PASSED
"click(findTestObject(""Page_Login/btn_Login""))",Chrome 100.0.4896.75,,,2022-04-07 12:04:34,2022-04-07 12:04:35,1.004s,PASSED
