Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_RegressionTest_With TestOps Vision,Chrome 100.0.4896.75,,,2022-04-07 15:49:32,2022-04-07 15:50:22,50.667s,PASSED
,,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login_With TestOps Vision,Chrome 100.0.4896.75,"Verify if users can login successful. 

Steps:
- Click on 'Book Appointment' button to login
- Input username and password
- Click on 'Login' button

Expected result:
'Appointment' section is displayed after successful login",,2022-04-07 15:49:32,2022-04-07 15:49:52,19.773s,PASSED
"comment(""Story: Login to CURA system"")",Chrome 100.0.4896.75,,,2022-04-07 15:49:33,2022-04-07 15:49:33,0.130s,PASSED
"comment(""Given that the user has the valid login information"")",Chrome 100.0.4896.75,,,2022-04-07 15:49:33,2022-04-07 15:49:33,0.021s,PASSED
openBrowser(G_SiteURL),Chrome 100.0.4896.75,,,2022-04-07 15:49:33,2022-04-07 15:49:42,8.698s,PASSED
maximizeWindow(),Chrome 100.0.4896.75,,,2022-04-07 15:49:42,2022-04-07 15:49:42,0.183s,PASSED
"click(findTestObject(""Page_CuraHomepage/btn_MakeAppointment""))",Chrome 100.0.4896.75,,,2022-04-07 15:49:42,2022-04-07 15:49:43,0.910s,PASSED
"takeElementScreenshotAsCheckpoint(""Login Dialog Origin"", LoginObject)",Chrome 100.0.4896.75,,,2022-04-07 15:49:43,2022-04-07 15:49:44,0.985s,PASSED
"setText(findTestObject(""Page_Login/txt_UserName""), Username)",Chrome 100.0.4896.75,,,2022-04-07 15:49:44,2022-04-07 15:49:45,1.122s,PASSED
"setText(findTestObject(""Page_Login/txt_Password""), Password)",Chrome 100.0.4896.75,,,2022-04-07 15:49:45,2022-04-07 15:49:46,0.733s,PASSED
"takeElementScreenshotAsCheckpoint(""Login Dialog With Data"", LoginObject)",Chrome 100.0.4896.75,,,2022-04-07 15:49:46,2022-04-07 15:49:47,0.909s,PASSED
"comment(""When he logins to CURA system"")",Chrome 100.0.4896.75,,,2022-04-07 15:49:47,2022-04-07 15:49:47,0.003s,PASSED
"click(findTestObject(""Page_Login/btn_Login""))",Chrome 100.0.4896.75,,,2022-04-07 15:49:47,2022-04-07 15:49:48,1.267s,PASSED
"comment(""Then he should be able to login successfully"")",Chrome 100.0.4896.75,,,2022-04-07 15:49:48,2022-04-07 15:49:48,0.004s,PASSED
"landingPage = verifyElementPresent(findTestObject(""Page_CuraAppointment/div_Appointment""), G_Timeout)",Chrome 100.0.4896.75,,,2022-04-07 15:49:48,2022-04-07 15:49:48,0.310s,PASSED
