Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_RegressionTest_With TestOps Vision,Chrome 100.0.4896.75,,,2022-04-07 12:44:40,2022-04-07 12:45:37,57.485s,PASSED
,,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login_With TestOps Vision,Chrome 100.0.4896.75,"Verify if users can login successful. 

Steps:
- Click on 'Book Appointment' button to login
- Input username and password
- Click on 'Login' button

Expected result:
'Appointment' section is displayed after successful login",,2022-04-07 12:44:40,2022-04-07 12:45:03,23.192s,PASSED
"comment(""Story: Login to CURA system"")",Chrome 100.0.4896.75,,,2022-04-07 12:44:42,2022-04-07 12:44:42,0.145s,PASSED
"comment(""Given that the user has the valid login information"")",Chrome 100.0.4896.75,,,2022-04-07 12:44:42,2022-04-07 12:44:42,0.020s,PASSED
openBrowser(G_SiteURL),Chrome 100.0.4896.75,,,2022-04-07 12:44:42,2022-04-07 12:44:52,10.255s,PASSED
maximizeWindow(),Chrome 100.0.4896.75,,,2022-04-07 12:44:52,2022-04-07 12:44:53,0.314s,PASSED
"click(findTestObject(""Page_CuraHomepage/btn_MakeAppointment""))",Chrome 100.0.4896.75,,,2022-04-07 12:44:53,2022-04-07 12:44:53,0.981s,PASSED
"takeElementScreenshotAsCheckpoint(""Login Dialog Origin"", LoginObject)",Chrome 100.0.4896.75,,,2022-04-07 12:44:53,2022-04-07 12:44:55,1.466s,PASSED
"setText(findTestObject(""Page_Login/txt_UserName""), Username)",Chrome 100.0.4896.75,,,2022-04-07 12:44:55,2022-04-07 12:44:56,1.148s,PASSED
"setText(findTestObject(""Page_Login/txt_Password""), Password)",Chrome 100.0.4896.75,,,2022-04-07 12:44:56,2022-04-07 12:44:57,1.015s,PASSED
"takeElementScreenshotAsCheckpoint(""Login Dialog With Data"", LoginObject)",Chrome 100.0.4896.75,,,2022-04-07 12:44:57,2022-04-07 12:44:58,1.056s,PASSED
"comment(""When he logins to CURA system"")",Chrome 100.0.4896.75,,,2022-04-07 12:44:58,2022-04-07 12:44:58,0.003s,PASSED
"click(findTestObject(""Page_Login/btn_Login""))",Chrome 100.0.4896.75,,,2022-04-07 12:44:58,2022-04-07 12:44:59,0.972s,PASSED
"comment(""Then he should be able to login successfully"")",Chrome 100.0.4896.75,,,2022-04-07 12:44:59,2022-04-07 12:44:59,0.009s,PASSED
"landingPage = verifyElementPresent(findTestObject(""Page_CuraAppointment/div_Appointment""), G_Timeout)",Chrome 100.0.4896.75,,,2022-04-07 12:44:59,2022-04-07 12:44:59,0.338s,PASSED
closeBrowser(),Chrome 100.0.4896.75,,,2022-04-07 12:44:59,2022-04-07 12:45:01,1.675s,PASSED
Start listener action : terminateRunningWebDrivers,Chrome 100.0.4896.75,,,2022-04-07 12:45:01,2022-04-07 12:45:01,0.135s,PASSED
Video,Chrome 100.0.4896.75,,,2022-04-07 12:45:03,2022-04-07 12:45:03,0.001s,PASSED
,,,,,,,
Test Cases/Main Test Cases/TC2_Verify Successful Appointment_With TestOps Vision,Chrome 100.0.4896.75,"Verify if users can book an appointment sucessfully.
Pre-condition: Users have already logged in

Steps:
- Fill in appoinment's information
- Click on appointment's button

Expected results:
Appointment Confirmation page is displayed",,2022-04-07 12:45:03,2022-04-07 12:45:37,33.842s,PASSED
"comment(""Story: Book an appointment"")",Chrome 100.0.4896.75,,,2022-04-07 12:45:05,2022-04-07 12:45:05,0.003s,PASSED
"comment(""Given that the user has logged into their account"")",Chrome 100.0.4896.75,,,2022-04-07 12:45:05,2022-04-07 12:45:05,0.002s,PASSED
openBrowser(G_SiteURL),Chrome 100.0.4896.75,,,2022-04-07 12:45:05,2022-04-07 12:45:13,8.205s,PASSED
maximizeWindow(),Chrome 100.0.4896.75,,,2022-04-07 12:45:13,2022-04-07 12:45:13,0.154s,PASSED
