Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_RegressionTest_With TestOps Vision,Chrome 100.0.4896.75,,,2022-04-07 16:22:06,2022-04-07 16:22:59,52.799s,PASSED
,,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login_With TestOps Vision,Chrome 100.0.4896.75,"Verify if users can login successful. 

Steps:
- Click on 'Book Appointment' button to login
- Input username and password
- Click on 'Login' button

Expected result:
'Appointment' section is displayed after successful login",,2022-04-07 16:22:07,2022-04-07 16:22:28,20.969s,PASSED
"comment(""Story: Login to CURA system"")",Chrome 100.0.4896.75,,,2022-04-07 16:22:08,2022-04-07 16:22:08,0.175s,PASSED
"comment(""Given that the user has the valid login information"")",Chrome 100.0.4896.75,,,2022-04-07 16:22:08,2022-04-07 16:22:08,0.009s,PASSED
openBrowser(G_SiteURL),Chrome 100.0.4896.75,,,2022-04-07 16:22:08,2022-04-07 16:22:17,9.189s,PASSED
maximizeWindow(),Chrome 100.0.4896.75,,,2022-04-07 16:22:17,2022-04-07 16:22:18,0.371s,PASSED
"click(findTestObject(""Page_CuraHomepage/btn_MakeAppointment""))",Chrome 100.0.4896.75,,,2022-04-07 16:22:18,2022-04-07 16:22:18,0.937s,PASSED
"takeElementScreenshotAsCheckpoint(""Login Dialog Origin"", LoginObject)",Chrome 100.0.4896.75,,,2022-04-07 16:22:18,2022-04-07 16:22:20,1.127s,PASSED
"setText(findTestObject(""Page_Login/txt_UserName""), Username)",Chrome 100.0.4896.75,,,2022-04-07 16:22:20,2022-04-07 16:22:21,1.212s,PASSED
"setText(findTestObject(""Page_Login/txt_Password""), Password)",Chrome 100.0.4896.75,,,2022-04-07 16:22:21,2022-04-07 16:22:22,0.717s,PASSED
"takeElementScreenshotAsCheckpoint(""Login Dialog With Data"", LoginObject)",Chrome 100.0.4896.75,,,2022-04-07 16:22:22,2022-04-07 16:22:22,0.857s,PASSED
"comment(""When he logins to CURA system"")",Chrome 100.0.4896.75,,,2022-04-07 16:22:22,2022-04-07 16:22:22,0.003s,PASSED
"click(findTestObject(""Page_Login/btn_Login""))",Chrome 100.0.4896.75,,,2022-04-07 16:22:22,2022-04-07 16:22:24,1.283s,PASSED
"comment(""Then he should be able to login successfully"")",Chrome 100.0.4896.75,,,2022-04-07 16:22:24,2022-04-07 16:22:24,0.003s,PASSED
"landingPage = verifyElementPresent(findTestObject(""Page_CuraAppointment/div_Appointment""), G_Timeout)",Chrome 100.0.4896.75,,,2022-04-07 16:22:24,2022-04-07 16:22:24,0.419s,PASSED
closeBrowser(),Chrome 100.0.4896.75,,,2022-04-07 16:22:24,2022-04-07 16:22:25,1.227s,PASSED
Start listener action : terminateRunningWebDrivers,Chrome 100.0.4896.75,,,2022-04-07 16:22:25,2022-04-07 16:22:26,0.250s,PASSED
Video,Chrome 100.0.4896.75,,,2022-04-07 16:22:28,2022-04-07 16:22:28,0.000s,PASSED
,,,,,,,
