Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_RegressionTest_With TestOps Vision,Chrome 100.0.4896.127,,,2022-04-19 15:08:33,2022-04-19 15:09:39,1m - 5.978s,PASSED
,,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login_With TestOps Vision,Chrome 100.0.4896.127,"Verify if users can login successful. 

Steps:
- Click on 'Book Appointment' button to login
- Input username and password
- Click on 'Login' button

Expected result:
'Appointment' section is displayed after successful login",,2022-04-19 15:08:33,2022-04-19 15:09:01,28.503s,PASSED
"comment(""Story: Login to CURA system"")",Chrome 100.0.4896.127,,,2022-04-19 15:08:35,2022-04-19 15:08:35,0.218s,PASSED
"comment(""Given that the user has the valid login information"")",Chrome 100.0.4896.127,,,2022-04-19 15:08:35,2022-04-19 15:08:35,0.022s,PASSED
openBrowser(G_SiteURL),Chrome 100.0.4896.127,,,2022-04-19 15:08:35,2022-04-19 15:08:46,10.762s,PASSED
maximizeWindow(),Chrome 100.0.4896.127,,,2022-04-19 15:08:46,2022-04-19 15:08:46,0.308s,PASSED
"click(findTestObject(""Page_CuraHomepage/btn_MakeAppointment""))",Chrome 100.0.4896.127,,,2022-04-19 15:08:46,2022-04-19 15:08:49,2.415s,PASSED
"takeElementScreenshotAsCheckpoint(""Login Dialog Origin"", LoginObject)",Chrome 100.0.4896.127,,,2022-04-19 15:08:49,2022-04-19 15:08:53,4.052s,PASSED
"setText(findTestObject(""Page_Login/txt_UserName""), Username)",Chrome 100.0.4896.127,,,2022-04-19 15:08:53,2022-04-19 15:08:54,1.523s,PASSED
"setText(findTestObject(""Page_Login/txt_Password""), Password)",Chrome 100.0.4896.127,,,2022-04-19 15:08:54,2022-04-19 15:08:55,0.784s,PASSED
"takeElementScreenshotAsCheckpoint(""Login Dialog With Data"", LoginObject)",Chrome 100.0.4896.127,,,2022-04-19 15:08:55,2022-04-19 15:08:56,1.062s,PASSED
"comment(""When he logins to CURA system"")",Chrome 100.0.4896.127,,,2022-04-19 15:08:56,2022-04-19 15:08:56,0.006s,PASSED
"click(findTestObject(""Page_Login/btn_Login""))",Chrome 100.0.4896.127,,,2022-04-19 15:08:56,2022-04-19 15:08:57,1.433s,PASSED
"comment(""Then he should be able to login successfully"")",Chrome 100.0.4896.127,,,2022-04-19 15:08:57,2022-04-19 15:08:57,0.003s,PASSED
"landingPage = verifyElementPresent(findTestObject(""Page_CuraAppointment/div_Appointment""), G_Timeout)",Chrome 100.0.4896.127,,,2022-04-19 15:08:57,2022-04-19 15:08:58,0.430s,PASSED
closeBrowser(),Chrome 100.0.4896.127,,,2022-04-19 15:08:58,2022-04-19 15:08:59,1.330s,PASSED
Start listener action : terminateRunningWebDrivers,Chrome 100.0.4896.127,,,2022-04-19 15:08:59,2022-04-19 15:08:59,0.138s,PASSED
Video,Chrome 100.0.4896.127,,,2022-04-19 15:09:01,2022-04-19 15:09:01,0.000s,PASSED
,,,,,,,
